builder,target,immigration_yes,security_yes,trafficking_yes,smuggling_yes,border_yes,announced_year,begun_year,planned?,construction?,completed?,TEXT,builder_name,target_name,announced,started,finished,new_work,disappeared,finished_length,unfinished_length,,purpose,type,details,notes,,,,,
BRN,MYS,TRUE,FALSE,FALSE,FALSE,FALSE,,2005,,,1,,Brunei,Malaysia (Limbang) ,,2005,2005,,,20,,,Anti-immigration ,,, ,,2005,20km/400 border,http://www.u-tt.com/pdf/090209_WorldofBarriers.pdf,
BWA,ZWE,FALSE,FALSE,FALSE,FALSE,FALSE,,2003,,,1,,Botswana,Zimbabwe,,2003,2008,,,500,,,"Botswana: ""Stop the spread of foot and mouth disease among livestock"" // Zimbabwe: ""Prevent Zimbabweans from crossing illegally into Botswana"" ","Electric Fence (turned off), never been turned on + 2 m barbed wire","Electric Fence (turned off), never been turned on + 2 m barbed wire",,,2003-2008,500km/772 border,http://www.theguardian.com/world/2003/sep/10/southafrica.zimbabwe http://news.bbc.co.uk/2/hi/africa/8343505.stm,
CHN,HKG,FALSE,FALSE,FALSE,FALSE,TRUE,,1960,,,1,,China,Hong Kong,,1960,1965,,,32,,,Territorial issues,Internal wall ,Internal wall - special administrative region / control intra-national border,,,Early 1960â€™s,,http://www.u-tt.com/pdf/090209_WorldofBarriers.pdf,
CHN,MAC,FALSE,FALSE,FALSE,FALSE,TRUE,,1870,,,1,,China,Macao,,1870,1870,,,0.32,,,Territorial issues,Internal wall ,Internal wall - special administrative region / control intra-national border,,,1870,,http://www.u-tt.com/pdf/090209_WorldofBarriers.pdf,
CHN,PRK,FALSE,FALSE,FALSE,FALSE,FALSE,,2006,,,1,,China,North Korea,,2006,2012, ,,220,,,Military fence,,Erected in reaction to NK nuclear tests,20 km were built in 2006. From 2010 to 2012 : 200 km were built. Projects to fence the entire border (1420 km),,2006-2012,"After 2012, construction didn't stop, but not much data is available after that. Still, in 2006, it was said that the entire border would be fenced (probably not feasible). Also, NK started to build some fences in 2007 (no data available, besides T-shaped concreted pillars on the banks of Tumen)",http://www.nknews.org/2015/07/few-boundaries-a-history-of-the-north-korea-china-border/,
CHN,PRK,FALSE,FALSE,FALSE,FALSE,FALSE,,2010,,,1,,China,North Korea,,See F11,,,,,1420,,Military fence,,Erected in reaction to NK nuclear tests,20 km were built in 2006. From 2010 to 2012 : 200 km were built. Projects to fence the entire border (1420 km),,2006-2012,finished in 2012?,http://www.nknews.org/2015/07/few-boundaries-a-history-of-the-north-korea-china-border/,
CYP,CNM,FALSE,FALSE,FALSE,FALSE,TRUE,,1974,,,1,,Cyprus,"Greece, Turkey",,1974,1974,,,180,,,Territorial issues Buffer zone  ,"""Concrete, barbed wire, watchtowers, anti-tank, minefields""","""Concrete, barbed wire, watchtowers, anti-tank, minefields""",,,1974,,http://ntic.com/photo/2014/04/frozen-in-time-the-cyprus-buffer-zone/100714/ http://widerimage.reuters.com/story/lost-in-time-the-cyprus-buffer-zone ,
DZA,LBY,FALSE,TRUE,FALSE,FALSE,FALSE,2015,,1,,,,Algeria,Libya,,2015,, ,,0,120,,Anti-terrorism,Electric fence,Electric fence,TBC : 120 km,,Talks in 2015,,http://www.middleeasteye.net/news/libya-algeria-509293117,
DZA,MAR,TRUE,FALSE,TRUE,FALSE,FALSE,2015,,,,1,,Algeria,Morocco,,2015,2015, ,,42,100,,Anti-immigration and anti-trafficking,,,A 100-kilometer-fence is being built by the Moroccan government (May 2015).,,1954-1962 for the first one and 2015 for the second one,142km/1550 border,http://www.france24.com/fr/20140730-maroc-algerie-cloture-frontiere-fermeture-diplomatie-mur-barriere-oujda/,
DZA,MAR,TRUE,FALSE,TRUE,FALSE,FALSE,,1954,,,1,,Algeria,Morocco,,1954,1962,,,42,,,Anti-immigration and anti-trafficking,,,A 100-kilometer-fence is being built by the Moroccan government (May 2015).,,1954-1962 for the first one and 2015 for the second one,,http://www.france24.com/fr/20140730-maroc-algerie-cloture-frontiere-fermeture-diplomatie-mur-barriere-oujda/,
DZA,MAR,FALSE,FALSE,FALSE,FALSE,FALSE,,2015,,1,,,Algeria,Morocco,,2015,,,,,100,,,,,A 100-kilometer-fence is being built by the Moroccan government (May 2015).,,it looks like theyâ€™re building a fence on both sides of the border - both algeria and Morocco ,,,
EGY,PSX,TRUE,FALSE,FALSE,FALSE,TRUE,,2009,,,1,,Egypt,Gaza,,2009,2009,,,11,,,"Anti-immigration, territorial issues",Underground metal wall,"""To stop smugglers from using tunnels, the Egyptian government started to build an underground metal wall in 2009"" ",,,2009,,http://www.cbc.ca/news/world/gazans-make-new-breach-in-egyptian-border-wall-1.694253,
ESP,MAR,TRUE,FALSE,FALSE,TRUE,FALSE,,1993,,,1,,Spain (Ceuta),Morocco,,1993,,1995,,8,,,Anti-immigration and anti-smuggling,,The border fence was assaulted in 2005 by hundreds of migrants,Reinforced,,1993 - reinforced in 1995,,"http://www.qub.ac.uk/research-centres/CentreforInternationalBordersResearch/Publications/WorkingPapers/CIBRWorkingPapers/Filetoupload,174398,en.pdf",
ESP,MAR,TRUE,FALSE,FALSE,TRUE,FALSE,,1996,,,1,,Spain (Melilla),Morocco,,1996,2005,,,11,,,Anti-immigration and anti-smuggling,Three fences and a buffer zone in between,Three fences and a buffer zone in between,Reinforced,,1996 - renovated in 2005,,"http://www.qub.ac.uk/research-centres/CentreforInternationalBordersResearch/Publications/WorkingPapers/CIBRWorkingPapers/Filetoupload,174398,en.pdf",
EST,RUS,FALSE,TRUE,FALSE,FALSE,TRUE,2015,,1,,,,Estonia,Russia,2015,2018,,,,,110,,"Security, Schengen, territorial",,,"71 million euro. 2.5-meter high barbed-wire fence. New Iron Curtain? The Baltic States used to be under Soviet occupation until the collapse of the Soviet Union. Since then, the three states joined the EU and NATO. Tensions with Moscow remain (e.g. Estonian security official Eston Kohver jailed to 15 years in a Russian prison for spying). Russia mocks Estonian plans. Latvia is said to be discussing the possibility of building a (anti-immigration) wall as well (27.08.15)",,,,,http://www.dw.com/en/estonia-vows-to-wall-off-russia/a-18678344 ; http://www.bbc.com/news/world-europe-34085926
GBR,FRA,FALSE,FALSE,FALSE,FALSE,FALSE,,2015,,,1,,UK,France (Calais & Coquelle),,2015,2015,,,,4,,Migrants,"Fences topped with coiled of razor wire, 5-meter high",,Calais & Coquelle - since it is more Â«Â fortifiedÂ Â» we will include those data,,Calais & Coquelle - since it is more Â«Â fortifiedÂ Â» we will include those data,,http://www.bbc.com/news/uk-33267137,
GIB,ESP,FALSE,FALSE,FALSE,FALSE,FALSE,,1910,,,1,,UK,Spain,,,1910,,,1.2,,,,Border point of entry,"Between 1969 and 1982, absolutely nobody was allowed to pass the frontier (!)",,,some include the border fence in Gibraltar,,http://goo.gl/IbXZhB ; http://geosite.jankrogh.com/borders/esgi/gibraltar.htm,
GRC,TUR,TRUE,FALSE,FALSE,FALSE,FALSE,,2012,,,1,,Greece,Turkey,,2012,2012, ,,11,,,Anti-immigration,Barbed-wire fence,Barbed-wire fence,A bigger project was announced in 2011 (206 km) but was not implemented,,2012,14km/186 border,http://www.ekathimerini.com/4dcgi/_w_articles_wsite1_1_17/12/2012_474782,
HUN,SRB,TRUE,FALSE,FALSE,FALSE,FALSE,,2015,,,1,,Hungary,Serbia,,2015,,,,0,175,,Anti-immigration,,,,,2015,,http://www.theguardian.com/world/2015/jun/17/hungary-closes-border-serbia-starts-building-fence-bar-migrants,
IND,BGD,TRUE,FALSE,FALSE,FALSE,FALSE,,1989,,1,,,India,Bangladesh,,1989,under construction,,,2828,3326,,Anti-immigration,Barbed-wire in 2011,Famous case of a 15-year-old girl who died locked on barbed-wire in 2011,Total project : 3326 km / 3268 km (depends on sources) THE ENTIRE BORDER.,,Started in 1989 and should be completed in May 2016. ,,http://www.idsa.in/idsacomments/BorderFencingWillNotStopIllegalMigration_pdas_261214.html,
IND,MMR,FALSE,TRUE,FALSE,TRUE,FALSE,2003,,1,,,,India,Myanmar,,, ,,,0,,,Anti-drug smuggling and anti-terrorism,,,Planned : 1648 km (No data on how much have been constructed atm) ,,,,http://www.u-tt.com/pdf/090209_WorldofBarriers.pdf,
IND,PAK,FALSE,FALSE,FALSE,FALSE,FALSE,,1990,,,1,,India,Pakistan,,1990,2004,,,550,,,"""Response to the threat of militants infiltrating in from Pakistan""",Concrete; Fenced and flood-lit; Thermal tracking; Can be seen from space - ,Can be seen from space - Concrete; Fenced and flood-lit; Thermal tracking,,,Started in the 1990â€™s - completed in 2004,,http://www.nytimes.com/2004/07/04/world/india-and-pakistan-good-fences-make-good-neighbors.html?pagewanted=2 http://www.pbs.org/now/shows/432/security-walls.html,
IRN,AFG,FALSE,FALSE,FALSE,TRUE,FALSE,,2000,,,,,Iran,Afghanistan,,2000,,,,682,1000,,Anti-smuggling,"""Canals, barriers, barbed wires and border towers"" ""It has constructed a 688 km canal, a 477 km enbankment and an 85 km wall, and installed 120 km of barbed wire"". ","""Canals, barriers, barbed wires and border towers"" ""It has constructed a 688 km canal, a 477 km enbankment and an 85 km wall, and installed 120 km of barbed wire"". ","The ""ultimate goal is to control the 1000 km border.",,voted by Iran Parliament in 2000,,http://www.unodc.org/documents/data-and-analysis/Studies/Opiate_Trafficking_and_Trade_Agreements_english_web.pdf https://www.youtube.com/watch?v=oyrRKo-17Hc http://www.ctvnews.ca/world/iran-battens-down-its-border-to-slow-opium-smuggling-from-afghanistan-1.1852434 ,
IRN,IRQ,TRUE,TRUE,FALSE,FALSE,FALSE,,2015,,,1,,Iran,Iraq,,2015,2015,,,4,,,Anti-terrorism and anti-immigration,,,, ,2015,,http://english.farsnews.com/newstext.aspx?nn=13931112001521,
IRN,PAK,TRUE,TRUE,TRUE,FALSE,FALSE,,2011,,,1,,Iran,Pakistan,,2011,2011,,,700,,,"Anti-immigration, anti-trafficking (drugs) and anti-terrorism",,,,,2011,,http://www.geocurrents.info/geopolitics/the-iran-pakistan-border-barrier,
IRN,TUR,FALSE,FALSE,FALSE,FALSE,FALSE,2014,,1,,,,Iran,Turkey,,,,,,TBC,,,,,,,,,,,
ISR,EGY,TRUE,FALSE,FALSE,FALSE,FALSE,,2010,,,1,,Israel,Egypt (SinaÃ¯),,2013 (2010?),2013,,,394,,,Anti-immigration ,,Took more than 3 years to build,,,2013,,http://www.algemeiner.com/2013/12/04/245-mile-1-6-billion-shekel-security-fence-between-israel-and-sinai-completed/#,
ISR,JOR,TRUE,TRUE,FALSE,FALSE,FALSE,2015,,1,,,,Israel,Jordan,,2015,,,,0,30,,Anti-terrorism and anti-immigration,,Last Israeli frontier that is not fenced yet.,Approved in 2015,,Approved in 2015,,http://www.nbcnews.com/news/world/israel-okays-extension-high-tech-fence-along-jordan-border-n384196 ,
ISR,LBN,TRUE,FALSE,FALSE,FALSE,FALSE,,2001,,,1,,Israel,Lebanon,,2001,,,,79,,,"Political tensions, anti-immigration",Electrified wired fence. â€œthe Blue Lineâ€ù. ,â€œthe Blue Lineâ€ù. Electrified wired fence. ,,,2001,,http://www.globalsecurity.org/military/world/israel/fence-israel-lebanon.htm,
ISR,PSX,FALSE,TRUE,FALSE,FALSE,FALSE,,2012,,,,,Israel,West Bank,,2012,,,,438,683,,Anti-terrorism,,,,,started in 2012,,http://middleeast.about.com/od/arabisraeliconflict/a/me070905b.htm,
ISR,PSX,FALSE,TRUE,FALSE,FALSE,FALSE,,1993,,,1,,Israel,Gaza,,1993,,1999,,51,,,Anti-terrorism,The fence is paralleled on both sides by roads patrolled by Israeli troops.,The fence is paralleled on both sides by roads patrolled by Israeli troops.,Reinforced,,1993 - reinforced in 1999,,http://middleeast.about.com/od/arabisraeliconflict/a/me070905b.htm ,
ISR,SYR,TRUE,TRUE,FALSE,FALSE,FALSE,,2013,,,1,,Israel,Syria,,2013,,,,70,,,Anti-terrorism and anti-immigration,,,,,2013,,http://www.france24.com/fr/20130107-israel-syrie-golan-mur-securite-cloture-crise-rebelles-djihadistes,
JOR,IRQ,FALSE,TRUE,FALSE,FALSE,FALSE,,2015,,1, ,,Jordan,Iraq,,2015,,,,0,175,,Anti-terrorism (ISIS),,"""To stop fighters from nearby jihadist groups infiltrating into its territory"" ; Jordan pilot burned to death in January by ISIS",,,2015,,http://www.timesofisrael.com/jordan-to-erect-barrier-on-iraq-syria-border-to-stop-is/ ,
KAZ,UZB,FALSE,FALSE,FALSE,TRUE,FALSE,,2006,,,1,,Kazakhstan,Uzbekistan,,2006,,,,45,,,Anti-smuggling (drugs),,,,,2006,45km/1800 border,http://query.nytimes.com/gst/fullpage.html?res=9C05E3DD163FF933A15753C1A9609C8B63,
KEN,SOM,TRUE,TRUE,FALSE,FALSE,FALSE,2015,,1,,,,Kenya,Somalia,,2015,,,,0,600,,Anti-immigration and anti-terrorism,,,,,2015,,http://www.nytimes.com/2015/04/22/world/africa/kenya-plans-to-build-a-border-wall-that-keeps-shabab-violence-out.html,
KWT,IRQ,TRUE,FALSE,FALSE,FALSE,TRUE,,1991,,,1,,Kuwait,Iraq,,1991,,,,190,,,Territorial conflict and anti-immigration,Electrified - DMZ built in conformity with the UN,DMZ built in conformity with the UN - electrified,,,1991,,https://18591km.wordpress.com/category/iraq-kuwait-wall/,
LTU,RUS,FALSE,TRUE,FALSE,FALSE,TRUE,2015,,1,,,,Lithuania,Russia,2015,,,,,,,,"Security, Schengen, territorial",,,"Announced recently, TBC",,,,,
LVA,RUS,FALSE,TRUE,FALSE,FALSE,TRUE,2015,,1,,,,Latvia,Russia,2015,,,,,,,,"Security, Schengen, territorial",,,"Announced recently, TBC",,,,,
MAR,DZA,FALSE,FALSE,FALSE,FALSE,FALSE,,2015,,,1,,Morocco,Algeria,,2015,,,,,100,,,,,A 100-kilometer-fence is being built by the Moroccan government (May 2015). It is said to be almost completed. Borders have been de facto closed since 1994. Rumors until confirmed in 2015. ,,it looks like theyâ€™re building a fence on both sides of the border - both algeria and Morocco ,,http://www.ansamed.info/ansamed/en/news/sections/politics/2015/06/01/morocco-builds-wall-to-divide-country-from-algeria_8789ec15-aa93-43ae-9202-1ebd4b66749a.html ,
MAR,SAH,FALSE,FALSE,FALSE,FALSE,FALSE,1980,,,,1,,Morocco,Western Sahara,,1980,1987,,,2720,,,Conflict zone,"Sand wall, stones, berms, fences, landmines","Sand wall, stones, berms, fences, landmines",,,Six staged of construction between 1980 and 1987,,http://newint.org/features/special/2009/11/10/sahara-berlin-wall/ http://www.un.org/Depts/Cartographic/map/dpko/minurso.pdf ,
MEX,GTM,FALSE,FALSE,FALSE,FALSE,FALSE,2015,,1,,,,Mexico,Guatemala,,2015,,,,TBC,,,,,,,,,,,
MMR,BGD,FALSE,TRUE,TRUE,TRUE,FALSE,,2009,,,1,,Myanmar,Bangladesh,,2009,,,,64,,,"Anti-terrorism, anti-smuggling and anti-trafficking",Barbed-wire fence,Difficult to know the exact course of the fence (no map available) - barbed-wire fence,Project : 210 km - source 2014,,2009,,http://reliefweb.int/report/myanmar/building-barriers-fencing-bangladesh-border  http://www.globalsecurity.org/military/world/myanmar/myanmar-bangladesh-fence.htm,
MMR,BGD,FALSE,FALSE,TRUE,FALSE,FALSE,,2014,,1,,,Myanmar,Bangladesh,2014,"Started in 2009, 40 kms were build in 2009, and the construction resumed in 2014 in Arakan State",,,, ,210,,Anti-trafficking (narcotics and humans),Concrete pillars,,,,,,http://reliefweb.int/report/myanmar/building-barriers-fencing-bangladesh-border,
MYS,BRN,FALSE,FALSE,TRUE,TRUE,FALSE,2015,,1,,,,Malaysia,Brunei,,2015,,,,0,2019,,Anti-smuggling and anti-trafficking (people),`,"â€œA special committee, known as the Security Fence Technical Team, is conducting the study that is expected to be completed by early October [2015]â€ù",Plans to fence the entire border : 2019 km,,talks started in 2015,,http://www.thejakartapost.com/news/2015/03/12/malaysia-considers-border-fencing-deter-human-trafficking.html,
MYS,IDN,FALSE,FALSE,TRUE,TRUE,FALSE,2015,,1,,,,Malaysia,Indonesia,,2015,,,,0,2019,,Anti-smuggling and anti-trafficking (people),`,"â€œA special committee, known as the Security Fence Technical Team, is conducting the study that is expected to be completed by early October [2015]â€ù",Plans to fence the entire border : 2019 km,,talks started in 2015,,http://www.thejakartapost.com/news/2015/03/12/malaysia-considers-border-fencing-deter-human-trafficking.html,
MYS,SGP,FALSE,FALSE,TRUE,TRUE,FALSE,2015,,1,,,,Malaysia,Singapore?,,2015,,,,0,2019,,Anti-smuggling and anti-trafficking (people),`,"â€œA special committee, known as the Security Fence Technical Team, is conducting the study that is expected to be completed by early October [2015]â€ù",Plans to fence the entire border : 2019 km,,talks started in 2015,,http://www.thejakartapost.com/news/2015/03/12/malaysia-considers-border-fencing-deter-human-trafficking.html,
MYS,THA,FALSE,FALSE,TRUE,TRUE,FALSE,2015,,1,,,,Malaysia,Thailand,,2015,,,,0,2019,,Anti-smuggling and anti-trafficking (people),`,"â€œA special committee, known as the Security Fence Technical Team, is conducting the study that is expected to be completed by early October [2015]â€ù",Plans to fence the entire border : 2019 km,,talks started in 2015,,http://www.thejakartapost.com/news/2015/03/12/malaysia-considers-border-fencing-deter-human-trafficking.html,
NAM,AGO,FALSE,FALSE,FALSE,FALSE,FALSE,2015,,1,,,,Namibia,Angola,,,,,,,240 (NOT FOUND),,Veterinary cordon fence to prevent diseases,Electrified,,"Rumoured, TBC",,,,https://www.newera.com.na/2015/05/12/border-fence-namibia-angola-priority-mutorwa/,
OMN,YEM,FALSE,FALSE,FALSE,FALSE,FALSE,,2014,,1,,,Oman,Yemen,,2014,,,,0,288,,"""Protection against domestic unrest and armed groups in the neighborhood""",,Construction has just started - Could have ecological impacts (leopards),Construction has just started - Could have ecological impacts (leopards),,Started end of 2014,,http://www.aljazeera.com/news/middleeast/2014/04/eco-activists-decry-planned-oman-border-fence-2014415134141186143.html,
PAK,AFG,TRUE,FALSE,FALSE,TRUE,FALSE,2007,,,1,,,Pakistan,Afghanistan,,2007,,,,35,,,"Dispute, anti-immigration and anti-smuggling",,Called the â€œDurand Lineâ€ù,Plan proposed a-2400-km fence,,,,http://u-tt.com/pdf/090209_WorldofBarriers.pdf,
PRK,KOR,FALSE,FALSE,FALSE,FALSE,FALSE,,1977,,,1,,North Korea,South Korea,,1977,1979,,,248,,,Buffer zone - DMZ,Concrete wall - Most heavily militarized border in the world,Concrete wall - Most heavily militarized border in the world,,,1977-1979,,http://www.history.com/topics/demilitarized-zone,
SAU,ARE,FALSE,TRUE,FALSE,TRUE,TRUE,,2005,,1,,,Saudi Arabia,UAE,,2005,,,,457,,,Anti-terrorism and anti-smuggling (Perhaps territorial dispute),Fence ,"Both countries are erecting a fence along their borders - Since 9/11, the UAE government focuses more on border security. ",457 erected since 2005,,since 2005,,http://homespunvine.com/saudia-arabia-barricades-its-borders/  http://www.globalsecurity.org/military/world/gulf/uae-security.htm,
SAU,IRQ,FALSE,TRUE,TRUE,FALSE,FALSE,,2006,,,1,,Saudi Arabia,Iraq,,2006,2014,,,900,,,Anti-terrorism and anti-trafficking,,Completed in november 2014 ,Not much data. EADS signed a contract for a 9000 km border fence along all the borders of Saudi Arabia. For Yemen : 1800 km are planned but the construction was interrupted in 2004.,,2006-2014,,http://www.rfi.fr/moyen-orient/20140907-mur-djihad-djihadistes-arabie-saoudite-terrorisme-ryad-etat-islamique-ei-isil-/,http://rpdefense.over-blog.com/2015/02/counter-terrorism-saudi-arabia-builds-a-better-fence.html
SAU,OMN,TRUE,FALSE,FALSE,FALSE,FALSE,,2005,,,1,,Saudi Arabia,Oman,, ,,,,,,,Anti-immigration,,,,,,,http://www.globalsecurity.org/military/world/gulf/uae-security.htm,
SAU,QAT,TRUE,FALSE,FALSE,FALSE,FALSE,2014,,,1,1,,Saudi Arabia,Qatar,,,,,,,,,Anti-immigration,,,,,,,http://www.globalsecurity.org/military/world/gulf/uae-security.htm,
SAU,YEM,TRUE,TRUE,FALSE,FALSE,FALSE,,2003,,,1,,Saudi Arabia,Yemen,,2003,2004,2013,,75,,,Anti-terrorism and anti-immigration,Fence ,"Saudi Arabia is probably the ""country with the largest border fence market in the world"" ($20 billion)","Interrupted, started again",,"Construction started in 2003, was then interrupted in 2004 and new construction started in 2013",75km/1222 border,http://www.lemonde.fr/proche-orient/article/2013/04/12/l-arabie-saoudite-erige-une-barriere-a-sa-frontiere-avec-le-yemen_3158973_3218.html,
SGP,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,Singapore (see D37),,,,,,,,,,,,,,,,,,
THA,MYS,FALSE,FALSE,FALSE,TRUE,FALSE,,2013,,,1,,Thailand,Malaysia,,2013,2013,,,,140,,Anti-smuggling,,,,,2013,,http://www.thesundaily.my/news/893881,
TKM,UZB,TRUE,FALSE,FALSE,TRUE,FALSE,,2001,,,1,,Turkmenistan,Uzbekistan,,2001,2001,,,1700,,,Anti-immigration and anti-smuggling,Wire fence,Wire fence,,,2001,,http://web.archive.org/web/20070706201023/ http://www.eurasianet.org/resource/turkmenistan/hypermail/200104/0001.html http://www.irinnews.org/report/28653/turkmenistan-uzbekistan-cross-border-movement-remains-problematic ,
